codigo,nome,marca,linha,faixa_etaria,dimensoes,pagina_catalogo,revisar
3107,BONECO DE VINIL OS SMURFS - PAPAI SMURF,playmi,Play&Collect,+18 meses,140A x 70C x 65L,97,
7222,BONECO DE PELÚCIA SMURF,playmi,Play&Collect,+2 meses,300A x 130C x 180L,98,
7224,BONECO DE PELÚCIA SMURFETTE,playmi,Play&Collect,+2 meses,300A x 170C x 170L,98,
7223,BONECO DE PELÚCIA PAPAI SMURF,playmi,Play&Collect,+2 meses,300A x 120C x 190L,98,
3112,TOTOKINHA GALINHA PINTADINHA MINI,playmi,Play&Collect,+18 meses,348A x 495C x 250L,99,
6019,TOTOKINHA GALINHA PINTADINHA MINI CAIXA INDIVIDUAL,playmi,Play&Collect,+18 meses,316A x 498C x 283L,99,
3038,MINIATURAS GALINHA PINTADINHA 5cm al tura,playmi,Play&Collect,+3 anos,145A x 210C x 65L,99,
3102,BONECA LUNA ABELHA O SHOW DA LUNA,playmi,Play&Collect,+18 meses,190A x 120C x 90L,100,
3115,BONECA LUNA JOANINHA O SHOW DA LUNA,playmi,Play&Collect,+18 meses,190A x 120C x 90L,100,
3116,BONECA LUNA MELANCIA O SHOW DA LUNA,playmi,Play&Collect,+18 meses,190A x 120C x 90L,100,
3063,TOTOKINHA POCOYO COM BONECO (licenciado),playmi,Play&Collect,+18 meses,316A x 510C x 283L,101,
6012,COM BONECO CAIXA INDIVIDUAL (licenciado) * A cor 1 unidade +18 meses da embalagem 316A x 510C x 283L,playmi,Play&Collect,,,101,SIM
3068,TOTOKINHA ELLY COM BONECO (licenciado),playmi,Play&Collect,+18 meses,316A x 510C x 283L,102,
6013,TOTOKINHA ELLY,playmi,Play&Collect,+18 meses,,102,SIM
0275,BONECO DE VINIL POCOYO (licenciado),playmi,Play&Collect,+18 meses,140A x 70C x 65L,103,
3049,BONECO DE VINIL SONEQUITA (licenciado),playmi,Play&Collect,+18 meses,82A x 92C x 92L,103,
3048,BONECO DE VINIL FRED (licenciado),playmi,Play&Collect,+18 meses,90A x 110C x 95L,103,
3021,BONECO DE VINIL NINA (licenciado),playmi,Play&Collect,+18 meses,135A x 79C x 72L,104,
0282,BONECO DE VINIL PATO (licenciado),playmi,Play&Collect,+18 meses,161A x 52C x 96L,104,
3011,BONECO DE VINIL ELLY (licenciado),playmi,Play&Collect,+18 meses,175A x 95C x 85L,104,
0281,BONECO DE VINIL LOULA (licenciado),playmi,Play&Collect,+18 meses,103A x 74C x 85L,104,
3079,BONECO DE VINIL TEMÁTICO POCOYO FRANKENSTEIN,playmi,Play&Collect,+18 meses,190A x 115C x 115L,105,
3080,BONECO DE VINIL TEMÁTICO POCOYO PRÍNCIPE,playmi,Play&Collect,+18 meses,190A x 115C x 115L,105,
3081,BONECO DE VINIL TEMÁTICO POCOYO SUPER HERÓI,playmi,Play&Collect,+18 meses,190A x 115C x 115L,105,
3065,BONECO DE PELÚCIA E VINIL POCOYO (licenciado),playmi,Play&Collect,+12 meses,330A x 210C x 125L,106,
3064,BONECO DE PELÚCIA POCOYO (licenciado) Fofinho e macio Sem embalagem,playmi,Play&Collect,+2 meses,330A x 210C x 125L,106,SIM
3050,BONECO DE VINIL POCOYO GRANDE (licenciado),playmi,Play&Collect,+18 meses,280A x 120C x 120L,107,
3052,BONECO DE VINIL PATO GRANDE (licenciado),playmi,Play&Collect,+18 meses,290A x 120C x 120L,107,
3051,BONECO DE VINIL ELLY GRANDE (licenciado),playmi,Play&Collect,+18 meses,290A x 120C x 120L,107,
3013,MINIATURAS POCOYO (licenciado),playmi,Play&Collect,+3 anos,145A x 210C x 65L,108,
0263,TAMBOR POCOYO (licenciado),playmi,Play&Collect,+3 anos,175A x 202C x 202L,109,
0266,TAMBORETE POCOYO (licenciado),playmi,Play&Collect,+3 anos,80A x 202C x 202L,109,
0272,GUITARRA POCOYO (licenciado),playmi,Play&Collect,+4 anos,42A x 372C x 120L,109,
7120,PET HOME COM BLOCOS AZUL,playmi,Play&Collect,+3 anos,270A x 250C x 175L,113,
7121,PET HOME COM BLOCOS ROSA,playmi,Play&Collect,+3 anos,270A x 250C x 175L,113,
3053,MESINHA DE ATIVIDADES ROSA CAIXA INDIVIDUAL +18 meses BRINQUEDO,playmi,Play&Collect,,390A x 348C x 348L,114,SIM
3054,MESINHA DE ATIVIDADES AZUL CAIXA INDIVIDUAL,playmi,Play&Collect,+18 meses,390A x 348C x 348L,114,
3055,BAUDUXO DIDÁTICO ROSA SEM EMBALAGEM 4 unidades +18 meses BRINQUEDO COM BRAILLE,playmi,Play&Collect,,360A x 305C x 285L,115,SIM
3056,BAUDUXO DIDÁTICO AZUL SEM EMBALAGEM BRINQUEDO COM BRAILLE,playmi,Play&Collect,+18 meses,360A x 305C x 285L,115,
3078,MIPUXA ROSA,playmi,Play&Collect,+18 meses,170A x 312C x 255L,116,
0280,MIPUXA AZUL,playmi,Play&Collect,+18 meses,170A x 312C x 255L,116,
7110,TUCANO MUSICAL,playmi,Play&Collect,+12 meses,180A x 165C x 50L,117,
7104,MACACO MUSICAL,playmi,Play&Collect,+12 meses,150A x 180C x 50L,117,
7101,ELEFANTE MUSICAL AZUL,playmi,Play&Collect,+12 meses,160A x 220C x 45L,118,
7102,ELEFANTE MUSICAL ROSA,playmi,Play&Collect,+12 meses,160A x 220C x 45L,118,
7103,GIRAFA MUSICAL,playmi,Play&Collect,+18 meses,420A x 165C x 55L,118,
1007,DINO SABIDINHO,playmi,Play&Collect,+18 meses,176A x 327C x 186L,119,
3012,PATA BOTA-OVO,playmi,Play&Collect,+18 meses,230A x 220C x 120L,119,
